Código;Twitter;Nome;Link_Wikipedia (Deputado);Partido;Link_Wikipedia (Partido);Coligação;Votos nominais;Nota;Estado
1;@abou_anni;Abou Anni;Abou Anni;PSL;PSL;PSL;69.256;;SÃO PAULO
2;@AcacioFavacho;Acácio Favacho;Acácio Favacho;PROS;PROS;PDT / PCdoB / MDB / PROS;19.111;;AMAPÁ
3;@AdolfoViana_;Adolfo Viana;Adolfo Viana;PSDB;PSDB;PSDB;102.603;;BAHIA
4;@adrianasounovo;Adriana Ventura;Adriana Ventura;NOVO;NOVO;NOVO;64.341;;SÃO PAULO
5;@adrianodobaldy;Adriano do Baldy;Adriano do Baldy;PP;PP;MDB / Republicanos / PP;77.729;;GOIÁS
6;@AecioNeves;Aécio Neves;Aécio Neves;PSDB;PSDB;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;105.525;;MINAS GERAIS
7;@AfonsoFlorence;Afonso Florence;Afonso Florence;PT;PT;PT / PCdoB / PP / PSB / PSD / PL / PODE;130.548;;BAHIA
8;@DepAfonsoHamm;Afonso Hamm;Afonso Hamm;PP;PP;PSDB / PTB / Republicanos / REDE / PP;100.018;;RIO GRANDE DO SUL
9;@afonso_motta;Afonso Motta;Afonso Motta;PDT;PDT;PDT / PMB / PV;65.712;;RIO GRANDE DO SUL
10;@depaguinaldo11;Aguinaldo Ribeiro;Aguinaldo Ribeiro;PP;PP;PP / PTC / PHS / PPL;120.220;;PARAÍBA
11;@FaleiroAirton;Airton Faleiro;Airton Faleiro;PT;PT;PT / PCdoB;106.962;;PARÁ
12;–;AJ Albuquerque;AJ Albuquerque;PP;PP;PT / PCdoB / PP / PV / PL / PMN;132.307;;CEARÁ
13;@Alan_Rick;Alan Rick;Alan Rick;DEM;DEM;PP / PSDB / PSD / MDB / DEM / Solidariedade / PTC / PMN / PL / PTB / Cidadania;22.263;;ACRE
14;@Alceu_Moreira;Alceu Moreira;Alceu Moreira;MDB;MDB;MDB;100.341;;RIO GRANDE DO SUL
15;–;Alcides Rodrigues;Alcides Rodrigues;Patriota;Patriota;DEM / PROS / PRP / PDT / PSC / PODE;62.141;Eleito pelo PRP;GOIÁS
16;@oficialalesilva;Alê Silva;Alê Silva;PSL;PSL;PSL;47.662;Suspensa de atividade partidária;MINAS GERAIS
17;@AlencarBraga13;Alencar Santana;Alencar Santana;PT;PT;PT / PCdoB;67.892;;SÃO PAULO
18;@alessandromolon;Alessandro Molon;Alessandro Molon;PSB;PSB;PSB / PDT;227.914;;RIO DE JANEIRO
19;@AlexManentePPS;Alex Manente;Alex Manente;Cidadania;Cidadania;PSB / PSC / Cidadania / PTB;127.366;;SÃO PAULO
20;@depalexsantana;Alex Santana;Alex Santana;PDT;PDT;PDT;62.922;;BAHIA
21;@alefrotabrasil;Alexandre Frota;Alexandre Frota;PSDB;PSDB;PSL;155.522;Eleito pelo PSL;SÃO PAULO
22;@lexandreleite;Alexandre Leite;Alexandre Leite;DEM;DEM;PSDB / PSD / DEM / PP;116.416;;SÃO PAULO
23;@padilhando;Alexandre Padilha;Alexandre Padilha;PT;PT;PT / PCdoB;87.576;;SÃO PAULO
24;@AleSerfiotis;Alexandre Serfiotis;Alexandre Serfiotis;PSD;PSD;PSD;37.526;;RIO DE JANEIRO
25;@AlexisFonteyne;Alexis Fonteyne;Alexis Fonteyne;NOVO;NOVO;NOVO;45.298;;SÃO PAULO
26;@Alice_Portugal;Alice Portugal;Alice Portugal;PCdoB;PCdoB;PT / PCdoB / PP / PSB / PSD / PL / PODE;126.031;;BAHIA
27;@alielmachado;Aliel Machado;Aliel Machado;PSB;PSB;PP / PTB / DEM / PMN / PMB / PSB / PSDB / PROS;95.386;;PARANÁ
28;@dep_alinegurgel;Aline Gurgel;Aline Gurgel;Republicanos;Republicanos;Republicanos / PTB / DC / PTC / PRP;16.519;;AMAPÁ
29;@AlineSleutjes;Aline Sleutjes;Aline Sleutjes;PSL;PSL;PSL / PTC / Patriota;33.628;Suspensa por 1 ano de atividade partidária;PARANÁ
30;@Altineu;Altineu Côrtes;Altineu Côrtes;PL;PL;PODE / PL;55.367;;RIO DE JANEIRO
31;@AluisioMendesMA;Aluísio Mendes;Aluísio Mendes;PSC;PSC;PSDB / DC / PODE / REDE;105.188;Eleito pelo PODE;MARANHÃO
32;@amaronetotv;Amaro Neto;Amaro Neto;Republicanos;Republicanos;PL / Republicanos / PSL;181.813;;ESPÍRITO SANTO
33;–;André Abdon;André Abdon;PP;PP;DEM / PSDB / PP / PSC / PSD / Patriota;12.856;;AMAPÁ
34;–;André de Paula;André de Paula;PSD;PSD;PSB / PCdoB / MDB / PSD;118.641;;PERNAMBUCO
35;@aferreira2020;André Ferreira;André Ferreira;PSC;PSC;PTB / DEM / PSDB / PSC / Republicanos / PODE / Cidadania;175.834;;PERNAMBUCO
36;@andrepdt12;André Figueiredo;André Figueiredo;PDT;PDT;PDT / PTB / DEM / PSB / PRP / PPL;103.373;;CEARÁ
37;@DepAndreFufuca;André Fufuca;André Fufuca;PP;PP;Patriota / PDT / PP / PL;105.332;;MARANHÃO
38;@AndreJanonesAdv;André Janones;André Janones;Avante;Avante;Avante;177.457;;MINAS GERAIS
39;@DeputadaAngela;Ângela Amin;Ângela Amin;PP;PP;PSD / PP / PV;86.189;;SANTA CATARINA
40;@AntonioBrito_;Antonio Brito;Antonio Brito;PSD;PSD;PT / PCdoB / PP / PSB / PSD / PL / PODE;127.716;;BAHIA
41;@achinaglia;Arlindo Chinaglia;Arlindo Chinaglia;PT;PT;PT / PCdoB;87.449;;SÃO PAULO
42;@ArnaldoJardim;Arnaldo Jardim;Arnaldo Jardim;Cidadania;Cidadania;PSB / PSC / Cidadania / PTB;132.363;;SÃO PAULO
43;@aroldomartins;Aroldo Martins;Aroldo Martins;Republicanos;Republicanos;Republicanos / PHS / Avante;52.572;;PARANÁ
44;@ArthurLira_;Arthur Lira;Arthur Lira;PP;PP;PTC / PSDB / PP / PSB / PSC / PROS / Republicanos / DEM;143.858;;ALAGOAS
45;@DepArthurMaia;Arthur Maia;Arthur Maia;DEM;DEM;DEM / Republicanos / PV;88.908;;BAHIA
46;@assis_carvalho;Assis Carvalho;Assis Carvalho;PT;PT;MDB / PP / PTB / PCdoB / PL / PDT / PSD / PT;129.529;Falecido;PIAUÍ
47;–;Átila Lins;Átila Lins;PP;PP;PDT / PP / PV / PL / Solidariedade / PTB / PHS / PSL;118.700;;AMAZONAS
48;@deputadoatila;Átila Lira;Átila Lira;PP;PP;PSDB / PSB / DEM;54.095;Eleito pelo PSB;PIAUÍ
49;@dep_acoutinho;Augusto Coutinho;Augusto Coutinho;Solidariedade;Solidariedade;PP / PL / Solidariedade / PMN;77.817;;PERNAMBUCO
50;@aureacarolinax;Áurea Carolina;Áurea Carolina;PSOL;PSOL;PSOL / PCB;161.878;;MINAS GERAIS
51;@AureoRibeiroRJ;Aureo Ribeiro;Aureo Ribeiro;Solidariedade;Solidariedade;Solidariedade / PSDB / Cidadania;68.414;;RIO DE JANEIRO
52;–;Bacelar;Bacelar;PODE;PODE;PT / PCdoB / PP / PSB / PSD / PL / PODE;149.274;;BAHIA
53;@Baleia_Rossi;Baleia Rossi;Baleia Rossi;MDB;MDB;MDB;214.042;;SÃO PAULO
54;@dasilvabenedita;Benedita da Silva;Benedita da Silva;PT;PT;PT / PCdoB;44.804;;RIO DE JANEIRO
55;@benesleocadiorn;Benes Leocádio;Benes Leocádio;Republicanos;Republicanos;Republicanos / PTB / PL / Cidadania / PMB / PTC / PSDB / PSB / PSD / Avante / PROS;125.841;Eleito pelo PTC;RIO GRANDE DO NORTE
56;@BetoFaroPT;Beto Faro;Beto Faro;PT;PT;PT / PCdoB;143.789;;PARÁ
57;@betopereirams;Beto Pereira;Beto Pereira;PSDB;PSDB;PSDB / Patriota / PSD / PMB / DEM / PP;79.877;;MATO GROSSO DO SUL
58;@BetoRosado;Beto Rosado;Beto Rosado;PP;PP;PDT / PP / MDB;71.092;;RIO GRANDE DO NORTE
59;@Biakicis;Bia Kicis;Bia Kicis;PSL;PSL;PRP / PRTB;84.999;Suspensa de atividade partidária. Eleita pelo PRP;DISTRITO FEDERAL
60;@bibonunes1;Bibo Nunes;Bibo Nunes;PSL;PSL;DEM / PROS / PSL;91.664;Suspenso por 1 ano de atividade partidária;RIO GRANDE DO SUL
61;@bilac_pinto;Bilac Pinto;Bilac Pinto;DEM;DEM;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;86.374;;MINAS GERAIS
62;@BiradoPindare;Bira do Pindaré;Bira do Pindaré;PSB;PSB;PCdoB / PTC / PSB / Republicanos / Avante / PROS / DEM / PPL / Cidadania / PTB / Solidariedade;99.209;;MARANHÃO
63;@BocaAbertaOf;Boca Aberta;Boca Aberta;PROS;PROS;PP / PTB / DEM / PMN / PMB / PSB / PSDB / PROS;90.158;;PARANÁ
64;@BohnGass;Bohn Gass;Bohn Gass;PT;PT;PT;102.964;;RIO GRANDE DO SUL
65;@BoscoCosta_SE;Bosco Costa;Bosco Costa;PL;PL;Republicanos / Cidadania / PSC / PL / PTC / PSDB / Solidariedade;47.788;;SERGIPE
66;@boscosaraiva;Bosco Saraiva;Bosco Saraiva;Solidariedade;Solidariedade;PDT / PP / PV / PL / Solidariedade / PTB / PHS / PSL;55.477;;AMAZONAS
67;@DepBrunaFurlan;Bruna Furlan;Bruna Furlan;PSDB;PSDB;PSDB / PSD / DEM / PP;126.847;;SÃO PAULO
68;@CacaLeao;Cacá Leão;Cacá Leão;PP;PP;PT / PCdoB / PP / PSB / PSD / PL / PODE;106.592;;BAHIA
69;@CamiloPSB;Camilo Capiberibe;Camilo Capiberibe;PSB;PSB;PT / PSB;24.987;;AMAPÁ
70;@capalbertoneto;Capitão Alberto Neto;Capitão Alberto Neto;Republicanos;Republicanos;PSD / Republicanos / DEM / PTC / PSDB;107.168;;AMAZONAS
71;@capitao_augusto;Capitão Augusto;Capitão Augusto;PL;PL;PL;242.327;;SÃO PAULO
72;@fabioabreuofc;Capitão Fábio Abreu;Capitão Fábio Abreu;PL;PL;MDB / PP / PTB / PCdoB / PL / PDT / PSD / PT;132.717;;PIAUÍ
73;@capitao_wagner;Capitão Wagner;Capitão Wagner;PROS;PROS;PROS;303.593;;CEARÁ
74;@CarlaZambelli17;Carla Zambelli;Carla Zambelli;PSL;PSL;PSL;76.306;Suspensa de atividade partidária;SÃO PAULO
75;@CarlosBezerraJr;Carlos Bezerra;Carlos Bezerra;MDB;MDB;DEM / PDT / PSD / MDB / PMB;59.155;;MATO GROSSO
76;@carloschiodini;Carlos Chiodini;Carlos Chiodini;MDB;MDB;MDB / PL;97.613;;SANTA CATARINA
77;@Carlos_Gaguim;Carlos Gomes;Carlos Gomes;Republicanos;Republicanos;PSDB / PTB / Republicanos / REDE / PP;103.373;;RIO GRANDE DO SUL
78;@carlosgomesdep;Carlos Henrique Gaguim;Carlos Henrique Gaguim;DEM;DEM;PHS / Avante / PROS / DEM / PTC / PP / Solidariedade / Patriota / Republicanos;48.012;;TOCANTINS
79;@carlosjordy;Carlos Jordy;Carlos Jordy;PSL;PSL;PSL;204.048;Suspenso por 1 ano de atividade partidária;RIO DE JANEIRO
80;@carlossampaio_;Carlos Sampaio;Carlos Sampaio;PSDB;PSDB;PSDB / PSD / DEM / PP;125.666;;SÃO PAULO
81;@carlosveraspt;Carlos Veras;Carlos Veras;PT;PT;PT;72.005;;PERNAMBUCO
82;@CarlosZarattini;Carlos Zarattini;Carlos Zarattini;PT;PT;PT / PCdoB;137.909;;SÃO PAULO
83;@carmenzanotto;Carmen Zanotto;Carmen Zanotto;Cidadania;Cidadania;PSDB / Cidadania / PTB / DC;84.692;;SANTA CATARINA
84;@CarolDeToni;Caroline de Toni;Caroline de Toni;PSL;PSL;PSL;109.363;Suspenso por 1 ano de atividade partidária;SANTA CATARINA
85;@Cassio_4011;Cássio Andrade;Cássio Andrade;PSB;PSB;PSDB / DEM / PSB / PDT / Solidariedade / Cidadania / PMN;130.767;;PARÁ
86;@celinaleao;Celina Leão;Celina Leão;PP;PP;MDB / PP / PSL / Avante;30.948;Assumiu a Secretaria de Esportes do Distrito Federal, substituída por Tadeu Filippelli (MDB);DISTRITO FEDERAL
87;@CelioMouraTO;Célio Moura;Célio Moura;PT;PT;PT / PCdoB / PV / PSD / REDE;18.167;;TOCANTINS
88;@csilveira4599;Célio Silveira;Célio Silveira;PSDB;PSDB;PSDB / PL / PSB / Cidadania / Solidariedade / PTB / PSD;68.468;;GOIÁS
89;@CelioStudart;Célio Studart;Célio Studart;PV;PV;PT / PCdoB / PP / PV / PL / PMN;208.852;;CEARÁ
90;@maldaner_celso;Celso Maldaner;Celso Maldaner;MDB;MDB;MDB / PL;80.086;;SANTA CATARINA
91;@celsorussomanno;Celso Russomanno;Celso Russomanno;Republicanos;Republicanos;Republicanos;521.728;;SÃO PAULO
92;@depcelsosabino;Celso Sabino;Celso Sabino;PSDB;PSDB;PSDB / DEM / PSB / PDT / Solidariedade / Cidadania / PMN;146.269;;PARÁ
93;@Czmadureira;Cezinha de Madureira;Cezinha de Madureira;PSD;PSD;PSDB / PSD / DEM / PP;119.024;;SÃO PAULO
94;@Charles_Federal;Charles Fernandes;Charles Fernandes;PSD;PSD;PT / PCdoB / PP / PSB / PSD / PL / PODE;74.116;;BAHIA
95;@charllesevg;Charlles Evangelista;Charlles Evangelista;PSL;PSL;PSL;51.565;;MINAS GERAIS
96;@chico_dangelo;Chico d'Ângelo;Chico d'Ângelo;PDT;PDT;PSB / PDT;26.417;;RIO DE JANEIRO
97;@BrazaoChiquinho;Chiquinho Brazão;Chiquinho Brazão;Avante;Avante;PMN / Avante;25.817;;RIO DE JANEIRO
98;@ToniettoChris;Chris Tonietto;Chris Tonietto;PSL;PSL;PSL;38.525;Suspensa de atividade partidária;RIO DE JANEIRO
99;@ChristianeYared;Christiane de Souza Yared;Christiane de Souza Yared;PL;PL;PSD / PSC / PL / Cidadania / PODE;107.636;;PARANÁ
100;@christinoaureo;Christino Áureo;Christino Áureo;PP;PP;DEM / MDB / PP / PTB;47.101;;RIO DE JANEIRO
101;@dep_clarissa;Clarissa Garotinho;Clarissa Garotinho;PROS;PROS;PSC / PROS;35.131;;RIO DE JANEIRO
102;@deputadocajado;Cláudio Cajado;Cláudio Cajado;PP;PP;PT / PCdoB / PP / PSB / PSD / PL / PODE;104.322;;BAHIA
103;@CleberVerde10;Cléber Verde;Cléber Verde;Republicanos;Republicanos;PCdoB / PTC / PSB / Republicanos / Avante / PROS / DEM / PPL / Cidadania / PTB / Solidariedade;101.179;;MARANHÃO
104;@dep_cel_armando;Coronel Armando;Coronel Armando;PSL;PSL;PSL;60.069;;SANTA CATARINA
105;–;Coronel Chrisóstomo;Coronel Chrisóstomo;PSL;PSL;PSL;28.344;;RONDÔNIA
106;@CoronelTadeu;Coronel Tadeu;Coronel Tadeu;PSL;PSL;PSL;98.373;;SÃO PAULO
107;@CovattiFilho;Covatti Filho;Covatti Filho;PP;PP;PSDB / PTB / Republicanos / REDE / PP;102.063;Assumiu a Secretaria de Agricultura do Rio Grande do Sul, substituído por Ronaldo Santini (PTB);RIO GRANDE DO SUL
108;–;Cristiano Vale;Cristiano Vale;PL;PL;MDB / PSD / PL / PP / PTB / PSC / PSL / Republicanos / PMB / PHS / PODE;176.799;;PARÁ
109;@dagobertopdt;Dagoberto Nogueira;Dagoberto Nogueira;PDT;PDT;PDT / Republicanos / PODE;39.571;;MATO GROSSO DO SUL
110;@Drdamiaof;Damião Feliciano;Damião Feliciano;PDT;PDT;PSB / PTB / Republicanos / PT / DEM / PDT / PCdoB / PODE;100.876;;PARAÍBA
111;@Daniel_PCdoB;Daniel Almeida;Daniel Almeida;PCdoB;PCdoB;PT / PCdoB / PP / PSB / PSD / PL / PODE;114.213;;BAHIA
112;@DanielCoelho23;Daniel Coelho;Daniel Coelho;Cidadania;Cidadania;PTB / DEM / PSDB / PSC / Republicanos / PODE / Cidadania;97.745;;PERNAMBUCO
113;@DFDanielFreitas;Daniel Freitas;Daniel Freitas;PSL;PSL;PSL;142.569;;SANTA CATARINA
114;@DanielPMERJ;Daniel Silveira;Daniel Silveira;PSL;PSL;PSL;31.789;Suspenso por 1 ano de atividade partidária;RIO DE JANEIRO
115;@TrzeciakDaniel;Daniel Trzeciak;Daniel Trzeciak;PSDB;PSDB;PSDB / PTB / Republicanos / REDE / PP;74.789;;RIO GRANDE DO SUL
116;@DanielaWaguinho;Daniela do Waguinho;Daniela do Waguinho;MDB;MDB;DEM / MDB / PP / PTB;136.286;;RIO DE JANEIRO
117;@danilo4010;Danilo Cabral;Danilo Cabral;PSB;PSB;PSB / PCdoB / MDB / PSD;91.635;;PERNAMBUCO
118;–;Danrlei de Deus Hinterholz;Danrlei de Deus Hinterholz;PSD;PSD;PSD / PSC / PMN / PRP / PTC;102.662;;RIO GRANDE DO SUL
119;@depdarcidematos;Darci de Matos;Darci de Matos;PSD;PSD;PSD / PP / PV;68.130;Licenciado do cargo, substituído por Nilson Stainsack (Progressistas);SANTA CATARINA
120;@davidmirandario;David Miranda;David Miranda;PSOL;PSOL;PSOL / PCB;17.356;1º suplente, assumiu com a renúncia de Jean Wyllys;RIO DE JANEIRO
121;@davidbrsoares;David Soares;David Soares;DEM;DEM;PSDB / PSD / DEM / PP;99.865;;SÃO PAULO
122;@DelegadoFurtado;Delegado Antônio Furtado;Delegado Antônio Furtado;PSL;PSL;PSL;104.211;;RIO DE JANEIRO
123;@EderMauroPA;Delegado Éder Mauro;Delegado Éder Mauro;PSD;PSD;MDB / PSD / PL / PP / PTB / PSC / PSL / Republicanos / PMB / PHS / PODE;145.653;;PARÁ
124;@DelegadoFreitas;Delegado Marcelo Freitas;Delegado Marcelo Freitas;PSL;PSL;PSL;57.408;;MINAS GERAIS
125;@DelegadoPablo_;Delegado Pablo Oliva;Delegado Pablo Oliva;PSL;PSL;PDT / PP / PV / PL / Solidariedade / PTB / PHS / PSL;151.649;;AMAZONAS
126;@delegado_waldir;Delegado Waldir;Delegado Waldir;PSL;PSL;PSL / DC;266.431;;GOIÁS
127;@denisbezerra;Denis Bezerra;Denis Bezerra;PSB;PSB;PDT / PTB / DEM / PSB / PRP / PPL;106.286;;CEARÁ
128;–;Diego Andrade;Diego Andrade;PSD;PSD;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;103.571;;MINAS GERAIS
129;@diegogarciapr;Diego Garcia;Diego Garcia;PODE;PODE;PSD / PSC / PL / Cidadania / PODE;103.154;;PARANÁ
130;@depdimasfabiano;Dimas Fabiano;Dimas Fabiano;PP;PP;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;74.056;;MINAS GERAIS
131;@depmarcon;Dionilso Marcon;Dionilso Marcon;PT;PT;PT;122.838;;RIO GRANDE DO SUL
132;@Domingos_Neto;Domingos Neto;Domingos Neto;PSD;PSD;MDB / PHS / Avante / Solidariedade / PSC / PSD / PODE / Republicanos;111.063;;CEARÁ
133;@DomingosSavioMG;Domingos Savio;Domingos Savio;PSDB;PSDB;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;80.303;;MINAS GERAIS
134;@DrFredericoMG;Doutor Frederico;Doutor Frederico;Patriota;Patriota;Patriota / PTC / PMB;60.895;;MINAS GERAIS
135;@jaziel_dr;Dr. Jaziel;Dr. Jaziel;PL;PL;PT / PCdoB / PP / PV / PL / PMN;65.298;;CEARÁ
136;@DrLeonardomt;Dr. Leonardo;Dr. Leonardo;Solidariedade;Solidariedade;PSDB / Cidadania / PSB / SD;52.335;;MATO GROSSO
137;–;Dr. Luiz Antonio Teixeira Jr.;Dr. Luiz Antonio Teixeira Jr.;PP;PP;DEM / MDB / PP / PTB;103.745;;RIO DE JANEIRO
138;@drluizovando;Dr. Luiz Ovando;Dr. Luiz Ovando;PSL;PSL;Cidadania / PROS / Solidariedade / PSB / PTB / Avante / PSL / PMN;49.995;;MATO GROSSO DO SUL
139;@zachariascalil;Dr. Zacarias Calil;Dr. Zacarias Calil;DEM;DEM;DEM / PROS / PRP / PDT / PSC / PODE;147.400;;GOIÁS
140;@DraManato;Dra. Soraya Manato;Dra. Soraya Manato;PSL;PSL;PL / Republicanos / PSL;57.741;;ESPÍRITO SANTO
141;@dulcemiranda_to;Dulce Miranda;Dulce Miranda;MDB;MDB;PSB / PSDB / PL / PODE / MDB / PSC;40.719;;TOCANTINS
142;@EdilazioJunior_;Edilázio Júnior;Edilázio Júnior;PSD;PSD;MDB / PSC / PV / PSD / PRP / PMB;106.159;;MARANHÃO
143;@ediolopes;Édio Lopes;Édio Lopes;PL;PL;PL / PRTB;11.930;;RORAIMA
144;@EdmilsonPSOL;Edmilson Rodrigues;Edmilson Rodrigues;PSOL;PSOL;PSOL / PPL / PCB;184.042;;PARÁ
145;–;Edna Henrique;Edna Henrique;PSDB;PSDB;PV / PSDB / PSD / PSC / Solidariedade;69.935;;PARAÍBA
146;@eduardobarbosa_;Eduardo Barbosa;Eduardo Barbosa;PSDB;PSDB;PSDB / PSD / Solidariedade / Cidadania / DEM / PP;104.200;;MINAS GERAIS
147;@eduardobismarck;Eduardo Bismarck;Eduardo Bismarck;PDT;PDT;PDT / PTB / DEM / PSB / PRP / PPL;87.005;;CEARÁ
148;@BolsonaroSP;Eduardo Bolsonaro;Eduardo Bolsonaro;PSL;PSL;PSL;1.843.735;Suspenso de atividade partidária;SÃO PAULO
149;@EduardoBraide;Eduardo Braide;Eduardo Braide;PODE;PODE;PHS / PMN;189.692;Eleito pelo PMN;MARANHÃO
150;@eduardocosta14;Eduardo Costa;Eduardo Costa;PTB;PTB;MDB / PSD / PL / PP / PTB / PSC / PSL / Republicanos / PMB / PHS / PODE;75.346;;PARÁ
151;@Eduardo_Cury;Eduardo Cury;Eduardo Cury;PSDB;PSDB;PSDB / PSD / DEM / PP;94.282;;SÃO PAULO
152;@eduardodafonte;Eduardo da Fonte;Eduardo da Fonte;PP;PP;PP / PL / Solidariedade / PMN;113.640;;PERNAMBUCO
153;@efraimfilho;Efraim Filho;Efraim Filho;DEM;DEM;PSB / PTB / Republicanos / PT / DEM / PDT / PCdoB / PODE;76.089;;PARAÍBA
154;@elcionepmdb;Elcione Barbalho;Elcione Barbalho;MDB;MDB;MDB / PSD / PL / PP / PTB / PSC / PSL / Republicanos / PMB / PHS / PODE;165.201;;PARÁ
155;@elidiasborges;Eli Borges;Eli Borges;Solidariedade;Solidariedade;PHS / Avante / PROS / DEM / PTC / PP / Solidariedade / Patriota / Republicanos;48.812;;TOCANTINS
156;@Assessoria2577;Eli Corrêa Filho;Eli Corrêa Filho;DEM;DEM;PSDB / PSD / DEM / PP;92.257;;SÃO PAULO
157;@EliasVazGyn;Elias Vaz;Elias Vaz;PSB;PSB;PSDB / PL / PSB / Cidadania / Solidariedade / PTB / PSD;74.877;;GOIÁS
158;@ElmarNascimento;Elmar Nascimento;Elmar Nascimento;DEM;DEM;DEM / Republicanos / PV;103.823;;BAHIA
159;@emanuelzinhomt;Emanuel Pinheiro Neto;Emanuel Pinheiro Neto;PTB;PTB;Republicanos / PP / PTB / PT / PMN / PODE / PROS / PL;76.781;;MATO GROSSO
160;–;Emidinho Madeira;Emidinho Madeira;PSB;PSB;PT / PL / PSB / DC / PCdoB;103.428;;MINAS GERAIS
161;@enioverri;Enio Verri;Enio Verri;PT;PT;PT;62.169;;PARANÁ
162;@enricomisasi;Enrico Misasi;Enrico Misasi;PV;PV;PV;108.038;;SÃO PAULO
163;@erikakokay;Erika Kokay;Erika Kokay;PT;PT;PT;88.501;;DISTRITO FEDERAL
164;@erosbiondini;Eros Biondini;Eros Biondini;PROS;PROS;PROS;155.983;;MINAS GERAIS
165;@EuclydesPetter;Euclydes Pettersen;Euclydes Pettersen;PSC;PSC;PSC / PTB / PMN;60.726;;MINAS GERAIS
166;@EvairdeMelo;Evair Vieira de Melo;Evair Vieira de Melo;PP;PP;PP / PROS / Cidadania / PHS / PCdoB;48.412;;ESPÍRITO SANTO
167;@roman_evandro;Expedito Netto;Expedito Netto;PSD;PSD;PSDB / DEM / PSD / Republicanos / Patriota;39.953;;RONDÔNIA
168;@fabiofaria5555;Fábio Faria;Fábio Faria;PSD;PSD;Republicanos / PTB / PL / Cidadania / PMB / PTC / PSDB / PSB / PSD / Avante / PROS;70.350;Assumiu o Ministério das Comunicações, substituído por Carla Dickson (PROS);RIO GRANDE DO NORTE
169;@FabioHenriqueSE;Fábio Henrique;Fábio Henrique;PDT;PDT;PSB / PDT / PPL / PDT / PROS / PRP;35.226;;SERGIPE
170;@depfmitidieri;Fábio Mitidieri;Fábio Mitidieri;PSD;PSD;PP / MDB / DC / PCdoB / PSD / PT / PHS;102.899;;SERGIPE
171;@_FabinhoRamalho;Fábio Ramalho;Fábio Ramalho;MDB;MDB;PDT / PV / Republicanos / MDB;63.089;;MINAS GERAIS
172;@fabioreis1515;Fábio Reis;Fábio Reis;MDB;MDB;PP / MDB / DC / PCdoB / PSD / PT / PHS;64.879;;SERGIPE
